client_id,round_number,hierarchy,num_samples,set,accuracy,loss
JoiDlove,0,,25,test,0.6666666666666666,0.693136990070343
Jolitabrilliant,0,,16,test,1.0,0.6928195953369141
Julie1205,0,,14,test,0.5,0.6931478977203369
JustCindy_,0,,30,test,0.3333333333333333,0.693176805973053
JustFunn1,0,,11,test,1.0,0.6927902698516846
JustJamie,0,,10,test,0.0,0.6931478977203369
JustShemaBaby,0,,10,test,1.0,0.693035364151001
JvTranX4,0,,10,test,1.0,0.6929706335067749
K8Brown,0,,10,test,0.0,0.6934338808059692
KLBarber,0,,10,test,0.0,0.6934950947761536
KSuds1313,0,,16,test,1.0,0.6929774284362793
KaRon157,0,,12,test,0.5,0.6930650472640991
KacyMarieMae,0,,21,test,0.6666666666666666,0.6930853724479675
KallieT,0,,17,test,1.0,0.6930303573608398
Kameshvari,0,,10,test,0.0,0.6931881308555603
KanYeezy,0,,18,test,0.0,0.6932275891304016
KandyChazer,0,,12,test,0.5,0.6931390762329102
Karen230683,0,,238,test,0.5,0.693148136138916
Karlcandido,0,,29,test,0.6666666666666666,0.6929852366447449
KarlsG,0,,15,test,0.5,0.6930980682373047
Karmenyl,0,,14,test,0.5,0.693290114402771
KateEdwards,0,,41,test,0.8,0.6930216550827026
KatieH97,0,,19,test,1.0,0.692901611328125
Katleavixen,0,,16,test,0.5,0.6931142807006836
KatxIllustrious,0,,14,test,0.0,0.6933139562606812
KaylaMari,0,,11,test,1.0,0.6928870677947998
KaylieFinneran,0,,13,test,0.0,0.6932439804077148
KayluvsAstonM,0,,19,test,0.0,0.6931869983673096
KazBT,0,,18,test,1.0,0.6929996013641357
KellyJohnson85,0,,14,test,1.0,0.6929013729095459
Kels757,0,,12,test,1.0,0.6928502321243286
Kelsey_L,0,,11,test,0.0,0.6934477090835571
KenDahl4U,0,,25,test,0.6666666666666666,0.6930592060089111
KendellRenee,0,,18,test,1.0,0.6929837465286255
KennedyHardman,0,,11,test,0.5,0.693138837814331
KhoreoKat,0,,10,test,0.0,0.6933687925338745
KiSHEZ,0,,35,test,0.75,0.6929971575737
Kia_whatever,0,,11,test,1.0,0.6929010152816772
Kiadra,0,,11,test,1.0,0.6929597854614258
KidKJ_21,0,,14,test,0.0,0.6934440732002258
Kimmy_Cheyenne,0,,36,test,0.75,0.6930448412895203
KingsOfLeon_Grl,0,,48,test,0.6,0.6930899620056152
KirstyGriffith,0,,18,test,0.0,0.6934398412704468
Kisses4KC,0,,14,test,0.0,0.6934494972229004
Kiwi05,0,,10,test,1.0,0.6927979588508606
KmartxX,0,,11,test,0.0,0.6933865547180176
KnowMeLoveMe,0,,11,test,0.5,0.6931451559066772
Kochevoy,0,,12,test,1.0,0.6928086280822754
KodinLanewave,0,,13,test,1.0,0.6929378509521484
KrnSidez,0,,13,test,0.0,0.6933776140213013
Kyla89,0,,10,test,0.0,0.693458616733551
KylieMalchus,0,,11,test,0.5,0.6931471824645996
Kylieeann,0,,12,test,0.0,0.6932305097579956
LADYoftheDARK,0,,11,test,0.0,0.6931939125061035
LARISSAYU,0,,10,test,1.0,0.6930562257766724
LBJJ9,0,,12,test,0.0,0.6933785676956177
LMSStars,0,,12,test,0.0,0.6934300661087036
LaNaNaSensation,0,,12,test,1.0,0.6930301189422607
Laaurenx,0,,15,test,0.0,0.6934051513671875
LabiosSupreme,0,,12,test,0.5,0.6931384801864624
LadyScholar08,0,,28,test,0.6666666666666666,0.6930842399597168
LariiTran,0,,47,test,0.6,0.693030059337616
Larissa_SG,0,,33,test,0.5,0.6931121349334717
LarryFlick,0,,10,test,1.0,0.6930517554283142
LauraDunne,0,,25,test,0.3333333333333333,0.6931865811347961
LauraJade19,0,,11,test,0.5,0.6931586265563965
Lauraful,0,,11,test,0.5,0.6930963397026062
LaurahOC,0,,11,test,0.0,0.6933194994926453
LaurenFisher,0,,11,test,0.5,0.693206787109375
Lauren_Loves_,0,,11,test,1.0,0.6929440498352051
LawlietJourney,0,,19,test,1.0,0.6929863691329956
Lea_Lush,0,,12,test,0.5,0.693030595779419
Leannesh,0,,12,test,0.0,0.6933939456939697
Lee_Knight,0,,19,test,1.0,0.6929352283477783
LegitLenaa,0,,12,test,0.0,0.6934340596199036
Leighkid,0,,10,test,0.0,0.6934021711349487
Lena_Fiefhaus,0,,17,test,0.5,0.6932311654090881
Lene511,0,,16,test,1.0,0.6929206848144531
LiLi214,0,,25,test,0.6666666666666666,0.693170964717865
Li_a,0,,10,test,0.0,0.6934391856193542
LiddoMissJONAS,0,,11,test,0.5,0.6931582689285278
LilyLoch,0,,10,test,1.0,0.6928213238716125
Lindsey_Beverly,0,,11,test,1.0,0.6929450631141663
LindzeyNichole,0,,42,test,0.6,0.6930819749832153
Linneahw,0,,12,test,0.5,0.6931662559509277
LinnetBirdie,0,,13,test,0.0,0.6933172345161438
LinziVictoria,0,,11,test,0.5,0.6931190490722656
Lioness01,0,,11,test,0.5,0.6931478977203369
LisaBarone,0,,17,test,1.0,0.6930239200592041
Lisagassmann,0,,11,test,0.0,0.6931965351104736
Lissy_Kuri,0,,10,test,1.0,0.692820131778717
LitezCameraAct,0,,12,test,0.0,0.6933987140655518
LittleMissDx,0,,25,test,0.0,0.6933059692382812
Little_Loz,0,,22,test,0.6666666666666666,0.6931040287017822
Liyonah,0,,14,test,0.5,0.6931726336479187
LizzieyTish,0,,16,test,0.5,0.6931259632110596
Lopsi,0,,25,test,0.6666666666666666,0.6928825974464417
Lora_June,0,,10,test,0.0,0.6935011744499207
LorenYxox,0,,39,test,0.5,0.6931818723678589
Lorpapinee,0,,18,test,0.5,0.6932990550994873
Lou1510,0,,13,test,0.5,0.6931958198547363
Louiise_t,0,,27,test,1.0,0.6930227279663086
LouiseReyes,0,,11,test,0.5,0.6931318044662476
Loulou_belle,0,,13,test,0.5,0.6931143999099731
LovinBenjamin,0,,19,test,1.0,0.6929165124893188
